uuid,country,source,source_school_id,school_name,latitude,longitude,dq_score,student_count,computer_availability,school_type,school_region,internet_availability,internet_speed_Mbps,region,region_code,state,state_code,city,city_code,internet_availability_prediction
fa22d9cf-1c20-3121-8f8f-f07cc0776b4b,Brazil,government,16000030,ESC EST IVANILDO FORTES DA SILVA,2.6947,-51.3613,1.0,106,Yes,Estadual,Rural,Yes,2.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,Yes
039effd3-515b-3122-b3d4-eebd915424b8,Brazil,government,16000048,ESC EST AMARO BRASILINO DE F FILHO,2.4923,-50.9469,1.0,296,No,Estadual,Urban,No,0.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,No
f87b1030-6db1-3749-a2bd-79aaf0225019,Brazil,government,16000056,ESC EST CALAFATE,2.1592,-50.8988,1.0,13,No,Municipal,Rural,No,0.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,No
890baa00-d1a5-3128-a82b-b54fe97c1373,Brazil,government,16000064,ESC EST PROF SILVIO ELITO DE LIMA SANTOS,2.4975,-50.9572,1.0,654,Yes,Estadual,Urban,Yes,5.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,Yes
754636a1-8250-3387-bcbd-a5f0e696c29c,Brazil,government,16000080,ESC EST JOSE RODRIGUES CORDEIRO,2.4979,-50.9574,1.0,284,Yes,Estadual,Urban,No,0.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,No
42cbfd3a-fe70-35ad-838a-d388397f47d6,Brazil,government,16000099,ESC EST LOBO DALMADA,2.4929,-50.9512,1.0,218,No,Municipal,Urban,No,0.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,No
da888c8a-8d85-3ed2-98c6-5d977ee6fad3,Brazil,government,16000129,ESC MUL SAO SEBASTIAO,2.4234,-51.1369,0.67,5,No,Municipal,Rural,No,0.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,No
50795a12-206a-39c9-afc3-e316d613abac,Brazil,government,16000137,ESC MUL MANOEL ALVES FERREIRA,2.2022,-50.8588,1.0,5,No,Municipal,Rural,No,0.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,No
cf1039e5-60f2-3d89-b95b-dcb2609fcc2e,Brazil,government,16000153,ESC MUL COMECINHO DE VIDA,2.4923,-50.9502,1.0,193,No,Municipal,Urban,Yes,5.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,Yes
4cdcaf17-1603-357a-8978-7807bcfdd618,Brazil,government,16000161,ESC EST VILA DE CUNANI,3.1059,-51.2115,1.0,0,,Estadual,Rural,,,Norte,1,Amapá,BR16,Calçoene,BR1600204,No
4f2281aa-7723-3854-bb8d-536be297adc8,Brazil,government,16000170,ESC EST JUVENAL GUIMARAES TEIXEIRA,2.3112,-51.6324,1.0,290,No,Estadual,Rural,Yes,5.0,Norte,1,Amapá,BR16,Calçoene,BR1600204,No
70ec34d2-1643-318d-8ab0-b8464af97d3f,Brazil,government,16000188,ESC INDIGENA EST JOSE NARCISO,3.7193,-51.6191,0.67,38,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
eab7aaf2-5061-348a-9b53-449a98e86420,Brazil,government,16000196,ESC INDIGENA EST MARIA CATARINA NUNES,3.7193,-51.6191,0.67,33,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
c71da25e-a0ed-383e-a4c2-be128cb28c71,Brazil,government,16000200,ESC INDIGENA EST MOISES IAPARRA5022019,3.4911,-51.4836,0.67,561,Yes,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
d375f05e-2bb7-3378-af01-82966d376ef1,Brazil,government,16000226,ESC MUL TAPARABU,3.8466,-51.8349,1.0,23,No,Municipal,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
7d18bee2-7c82-398e-a843-b17ed1f0f90a,Brazil,government,16000242,ESC INDIGENA EST SAO SEBASTIAO DO ACAIZAL,3.7193,-51.6191,0.67,45,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
e475d35d-2f7a-3e95-8c37-7126fafe4b45,Brazil,government,16000250,ESC INDIGENA EST FELINTO MORAES,3.7193,-51.6191,0.67,11,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
69c68066-8445-3b88-beb7-f040b15d8ce6,Brazil,government,16000269,ESC INDIGENA EST JOAO TEODORO FORTE,3.7193,-51.6191,0.67,288,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
93122911-069b-3f48-85fd-f912167cf085,Brazil,government,16000277,ESC INDIGENA EST GABRIEL DOS ANJOS,3.7193,-51.6191,0.67,73,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
8bba4c3f-14b7-3d2b-986a-50116853d85c,Brazil,government,16000285,ESC INDIGENA EST SAO JOSE,3.7193,-51.6191,0.67,20,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
40c6c256-7dd1-3eb2-ace8-b8cf448269fa,Brazil,government,16000293,ESC INDIGENA EST JOAO BATISTA MACIAL,3.7193,-51.6191,0.67,33,No,Estadual,Rural,Yes,2.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
bcd9ced2-a623-378f-b816-9f79c69bdf7a,Brazil,government,16000307,ESC EST JOAQUIM CAETANO DA SILVA,3.8476,-51.8355,1.0,956,No,Estadual,Urban,Yes,2.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,Yes
ececd66c-e6a4-32e3-be59-bda6a02728b4,Brazil,government,16000315,ESC EST JOAQUIM NABUCO,3.8438,-51.8344,1.0,733,Yes,Estadual,Urban,Yes,2.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,Yes
8214f02c-e6ca-38ba-b3be-da842d8a5edd,Brazil,government,16000323,ESC INDIGENA EST JORGE IAPARRA,3.7193,-51.6191,0.67,604,Yes,Estadual,Rural,Yes,2.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,Yes
3621af1b-2f90-3240-8a87-390cb5f27ea6,Brazil,government,16000331,ESC INDIGENA EST CAMILO NARCISO,3.7193,-51.6191,0.67,564,Yes,Estadual,Rural,Yes,2.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,Yes
c1fe4564-1cb3-3f7d-8fbe-ce14570ab603,Brazil,government,16000340,ESC INDIGENA EST LEIDE DOS SANTOS,3.7193,-51.6191,0.67,21,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
8c97b84a-ac97-3921-b543-93f0c17a267d,Brazil,government,16000366,ESC INDIGENA EST SAO RAIMUNDO,3.7193,-51.6191,0.67,4,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
9e487570-bcd0-3861-964f-9728f44b2355,Brazil,government,16000382,ESC INDIGENA EST YANAWA,3.7193,-51.6191,0.67,18,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
0685c914-f579-303e-acba-044ac9316794,Brazil,government,16000390,ESC INDIGENA EST ENCRUZO,3.7193,-51.6191,1.0,0,,Estadual,Rural,,,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
a9fb5b97-b23d-39ea-aaa7-004aaa64c2eb,Brazil,government,16000480,ESC MUL PROF MARCIA DO SOCORRO LIMA DE FRANCA,3.8442,-51.8324,1.0,493,No,Municipal,Urban,Yes,2.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,Yes
691cca90-04b9-37dd-9921-c3ab45d52663,Brazil,government,16000587,ESC EST DUQUE DE CAXIAS,3.8168,-51.8634,1.0,229,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
6a59bbf0-62dd-3b29-bb23-af56e15e2829,Brazil,government,16000609,ESC MUL PRAINHA DO CASSIPORE,3.0446,-51.3674,1.0,11,No,Municipal,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
ce344686-282a-391a-b27c-f92c0c98da45,Brazil,government,16000617,ESC EST VILA VELHA,3.2114,-51.2283,1.0,42,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
5cf8d80a-5555-3ebe-8e80-57d574afc930,Brazil,government,16000625,ESC INDIGENA EST MANOEL PRIMO DOS SANTOS,3.7193,-51.6191,0.67,220,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Oiapoque,BR1600501,No
e563d6d5-14b8-3058-83e4-d2864dc5c40d,Brazil,government,16000641,ESC EST VEIGA CABRAL,2.0497,-50.7918,1.0,391,Yes,Estadual,Urban,Yes,5.0,Norte,1,Amapá,BR16,Amapá,BR1600105,Yes
bc663377-186d-3734-9d0f-d001d7dea865,Brazil,government,16000650,ESC MUL SANTO ANTONIO,1.9217,-50.7052,1.0,2,No,Municipal,Rural,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
153f72ca-b3ff-35c2-8fc7-c07e1792f13c,Brazil,government,16000676,ESC EST BOM JESUS DO ARAGUARI,1.9835,-50.9128,0.67,17,Yes,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
7fed93a3-9646-3097-8d48-c06bced62a15,Brazil,government,16000684,ESC EST ROZENDO NASCIMENTO FILHO,1.8703,-50.9263,1.0,104,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
2268ed6a-a5a1-3575-b55d-8236ae8f076d,Brazil,government,16000692,ESC EST CRUZEIRO,1.9937,-50.9681,1.0,52,No,Municipal,Rural,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
3890ed94-f46f-31fe-aa3f-8a2d5a6cd73a,Brazil,government,16000706,ESC EST PROF MARIA ESMERALDA MARTINS DE MOURA,2.0454,-50.7929,1.0,211,No,Estadual,Urban,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,Yes
54fe9d4d-54a1-35b1-ac53-f291bd3d6acc,Brazil,government,16000722,ESC EST SAO RAIMUNDO DO ARAGUARI,1.9835,-50.9128,0.67,8,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
09f1feba-5394-316b-a2d1-41339677f17d,Brazil,government,16000749,ESC EST VIDAL DE NEGREIROS,2.0471,-50.7919,1.0,514,Yes,Estadual,Urban,Yes,2.0,Norte,1,Amapá,BR16,Amapá,BR1600105,Yes
ae5e9720-0519-3adb-aaec-3a356ec202ba,Brazil,government,16000757,ESC EST VULCAO DO NORTE,1.9422,-50.7275,1.0,7,No,Municipal,Rural,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
e3de5024-b957-3165-a70c-c7ff2eadf376,Brazil,government,16000765,ESC MUL ANTIDIO PROSPERO,1.9835,-50.9128,1.0,0,,Municipal,Rural,,,Norte,1,Amapá,BR16,Amapá,BR1600105,No
80538edb-717f-3b74-889e-703ec118ea78,Brazil,government,16000773,ESC MUL FRANCISCO A DE OLIVEIRA,2.05,-50.7873,0.89,292,No,Municipal,Urban,Yes,2.0,Norte,1,Amapá,BR16,Amapá,BR1600105,Yes
976d446f-b96b-30f3-a061-41c464fa8db7,Brazil,government,16000781,ESC MUL PROF MARIA ELIZIA B COSTA,2.0362,-50.7932,1.0,170,No,Municipal,Urban,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
385d914d-f6e0-329d-b241-4e55d5df59a5,Brazil,government,16000790,ESC MUL VISTA ALEGRE,1.8928,-50.7298,1.0,3,No,Municipal,Rural,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
e015e74d-5266-350f-bf26-9e11e476ed9a,Brazil,government,16000803,ESC MUL LOURENCO BORGES FACANHA,2.0533,-50.7914,1.0,178,No,Municipal,Urban,Yes,5.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
fb0c8e30-474e-3165-94e5-c8d537c8522f,Brazil,government,16000811,ESC MUL MARIA DO CEU GONCALVES DIAS,2.0371,-50.7927,1.0,393,Yes,Municipal,Urban,Yes,5.0,Norte,1,Amapá,BR16,Amapá,BR1600105,Yes
61533ac8-c0e4-3b3b-9e9e-57a8277451f7,Brazil,government,16000820,ESC EST ANTONIO TEIXEIRA GUERRA,1.5329,-50.2316,0.67,88,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Amapá,BR1600105,No
d3307e73-e7d3-3ddd-9b81-0b4d1c9d812f,Brazil,government,16000838,ESC MUL PARATU,1.5329,-50.2316,1.0,0,,Municipal,Rural,,,Norte,1,Amapá,BR16,Amapá,BR1600105,No
f86795f8-ec89-3fd6-9436-2f2f8932c87b,Brazil,government,16000846,ESC EST JOAO EVANGELISTA LOPES,1.7288,-50.9301,1.0,49,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Pracuúba,BR1600550,No
698fae63-5c44-3aab-99b1-b94c029fe39f,Brazil,government,16000854,ESC EST PEDRO MACIEL FILHO,1.6643,-50.9198,1.0,96,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Pracuúba,BR1600550,No
fb1b7360-3ace-3a8f-9701-fb9dc89bb444,Brazil,government,16000862,ESC EST ERNESTO PEREIRA COLARES,1.7433,-50.7874,1.0,331,No,Estadual,Urban,Yes,5.0,Norte,1,Amapá,BR16,Pracuúba,BR1600550,Yes
cdbd534e-3476-3de9-b5fb-2828183b757e,Brazil,government,16000870,ESC EST PEDRO TEIXEIRA,1.7286,-50.8779,1.0,159,No,Estadual,Rural,Yes,5.0,Norte,1,Amapá,BR16,Pracuúba,BR1600550,No
7834dce5-7271-388e-8dfa-627884d2be30,Brazil,government,16000889,ESC EST JOSE PLACIDO DE CASTRO,1.8141,-50.8767,1.0,40,No,Estadual,Rural,Yes,2.0,Norte,1,Amapá,BR16,Pracuúba,BR1600550,Yes
f7c82483-cd63-39ad-b337-e97b32234028,Brazil,government,16000897,ESC EST SAO MIGUEL DO FLEXAL,1.6255,-51.2769,0.67,25,No,Estadual,Rural,No,0.0,Norte,1,Amapá,BR16,Pracuúba,BR1600550,No
666eff51-959f-3670-a289-137edf98280d,Brazil,government,16000900,ESC EST BONITO DO APOREMA,1.2944,-50.9854,1.0,0,,Estadual,Rural,,,Norte,1,Amapá,BR16,Tartarugalzinho,BR1600709,No
