uuid,country,source,source_school_id,school_name,latitude,longitude,dq_score,student_count,computer_availability,school_type,school_region,internet_availability,internet_speed_Mbps,region,region_code,state,state_code,city,city_code,internet_availability_prediction
a569167b-7b48-3eae-b063-3126707822d1,Brazil,government,24008257,UNIDADE I RAIMUNDA ADELITA DE OLIVEIRA,-5.9969,-37.4748,1.0,0,,Municipal,Rural,,,Nordeste,2,Rio Grande do Norte,BR24,Janduís,BR2405207,No
4cd7bc26-82f4-3459-974b-05db3eaa519c,Brazil,government,24000019,ESCOLA ESTADUAL PROFESSORA MARIA LAURETANIA ROLIM BEZERRA DO VALE,-5.0016,-37.0384,0.67,165,No,Estadual,Urban,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
1fa5ab8e-d490-37f2-b990-e6bd78244634,Brazil,government,24000027,ESCOLA ESTADUAL DE ENSINO MEDIO EM TEMPO INTEGRAL DESEMBARGADOR SILVERIO SOARES,-4.9497,-37.126,0.94,277,Yes,Estadual,Urban,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
f5bcd301-2a81-31b5-8639-bab5f37fed82,Brazil,government,24000051,CENTRO DE EDUCACAO INFANTIL LUIZ BRENO,-4.9502,-37.1276,1.0,367,No,Municipal,Urban,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
dfb6a971-3acc-3c43-b1eb-2d800f35cd23,Brazil,government,24000060,CRECHE JOANA ZELINDA,-5.0016,-37.0384,1.0,0,,Municipal,Urban,,,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
04106232-58c3-3a8c-876e-045273ce922f,Brazil,government,24000108,CRECHE SAO CRISTOVAO,-4.9302,-36.9604,1.0,47,No,Municipal,Rural,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
8b3d0ef7-edc6-3194-91d7-98032673e831,Brazil,government,24000116,CENTRO DE EDUCACAO INFANTIL SAO SEBASTIAO,-4.9524,-36.8841,1.0,103,No,Municipal,Rural,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
e121f82a-ab17-38c1-b4eb-f19885924ed3,Brazil,government,24000132,ESCOLA ESTADUAL CONEGO ISMAR FERNANDES DE QUEIROZ,-4.9452,-37.1191,1.0,332,No,Estadual,Urban,No,0.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
f25633dd-94a3-3091-9104-3d4428713c04,Brazil,government,24000140,EE CONSELHEIRO BRITO GUERRA ENSINO FUNDAMENTAL II E MEDIO,-4.9568,-37.1345,1.0,320,Yes,Estadual,Urban,Yes,2.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
0dab8646-765a-3af9-8884-3e315e079ccc,Brazil,government,24000159,ESCOLA MUNICIPAL ANTONIO GENTIL FERNANDES,-4.9439,-36.9803,1.0,80,No,Municipal,Rural,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
823b5168-af0a-3263-8b15-27e6b04c55b7,Brazil,government,24000175,ESCOLA ESTADUAL DR DAGMAR SABINO,-5.0016,-37.0384,0.67,141,No,Estadual,Urban,Yes,2.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
ce750713-b45a-3d42-94aa-eac7c0300993,Brazil,government,24000191,EE ELITA MONTE ENS DE 1,-4.9509,-37.1332,1.0,362,No,Estadual,Urban,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
109d9255-0344-3a00-a912-18f02eb1c32e,Brazil,government,24000213,EE PROF ANTONIA GIRLANDE BRUNO DA SILVA,-5.0016,-37.0384,0.67,171,Yes,Estadual,Urban,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
5ff2bf94-b168-3456-ad90-ecd90176b508,Brazil,government,24000272,ESCOLA MUNICIPAL MARIA NORONHA FILGUEIRA,-4.9302,-36.9602,1.0,41,Yes,Municipal,Rural,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
593da216-aff8-3850-bc9a-7bf89d1c5cc9,Brazil,government,24000280,EM ALUIZIO ALVES,-4.956,-37.1305,0.94,256,Yes,Municipal,Urban,Yes,5.0,Nordeste,2,Rio Grande do Norte,BR24,Areia Branca,BR2401107,Yes
