uuid,country,source,source_school_id,school_name,latitude,longitude,dq_score,student_count,computer_availability,school_type,school_region,internet_availability,internet_speed_Mbps,region,region_code,state,state_code,city,city_code,internet_availability_prediction
88610cf2-44c0-38c2-aab3-184d4fb1ada0,Brazil,government,25000012,EMEF JOAO ALVES,-6.5316,-35.7387,1.0,1058,No,Municipal,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Araruna,BR2501005,Yes
e7e28173-8310-3991-982d-f8183f14bbe6,Brazil,government,25000020,CRECHE INTEGRADA MARIA DO SOCORRO LINHARES,-6.1872,-37.5328,1.0,0,,Municipal,Urban,,,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,Yes
5e54cd45-9297-3b55-98fb-86ffce50365d,Brazil,government,25000047,ECI NOSSA SENHORA DA CONCEICAO,-6.1882,-37.5345,1.0,178,Yes,Estadual,Urban,No,0.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,No
d4b9ca9e-c15e-3ede-9ec9-3852135a47cb,Brazil,government,25000055,EEEF AMERICO MAIA,-6.1888,-37.5352,1.0,287,Yes,Estadual,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,Yes
35d8b860-485c-3048-9c1c-631d48b64d7c,Brazil,government,25000063,EMEIF PREFEITO PLINIO FORTE MAIA,-6.1491,-37.3655,0.67,315,No,Municipal,Urban,Yes,2.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,Yes
00a50fa3-495c-3c4f-af4f-5c1b02488948,Brazil,government,25000110,ESC MUL FRANCISCO DA CUNHA,-6.1491,-37.3655,0.67,269,No,Municipal,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,Yes
17e6a9fe-76c9-3c76-bacb-431b2e95784d,Brazil,government,25000160,ESCOLA MEIF PROFESSOR RAIMUNDO SEVERINO ANDRADE,-6.1901,-37.532,0.94,206,No,Municipal,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,Yes
f986bafd-9de1-3f0a-a5ba-d84e5d65f49f,Brazil,government,25000217,ESC MUL FRANCISCA INGRACA DA CONCEICAO,-6.1491,-37.3655,0.67,99,No,Municipal,Rural,Yes,2.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,Yes
10bb688c-2a9e-3aef-a6a9-8efb9b508acb,Brazil,government,25000225,ESCOLA DR GENIVAL LACERDA DA CUNHA,-6.2357,-37.5361,1.0,64,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,No
e0d2f968-7311-3a9a-8584-286b853c4c33,Brazil,government,25000250,GR ESC JOAO CORDEIRO DE OLIVEIRA,-6.1491,-37.3655,1.0,0,,Municipal,Rural,,,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,No
c70abb87-437c-3882-a445-26b704388a57,Brazil,government,25000268,GR ESC JOAO MENDES DE ARAUJO,-6.1491,-37.3655,0.67,9,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,No
2d2cf643-75ca-3052-8b1e-9be6a2d0a49d,Brazil,government,25000306,EMEF MANOEL VIANA DOS SANTOS,-6.1862,-37.5393,1.0,489,No,Municipal,Urban,Yes,2.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,Yes
cd804b03-c74d-30c3-821d-29aad3327672,Brazil,government,25000349,ECI EEFM PADRE ARISTIDES,-6.4429,-37.9321,1.0,117,Yes,Estadual,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Bom Sucesso,BR2502300,Yes
7dc4332f-f35f-3e11-a228-093d96724f8e,Brazil,government,25000373,EEEF DR JOSE PAZ DE LIMA,-6.4464,-37.9294,1.0,100,Yes,Estadual,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Bom Sucesso,BR2502300,Yes
112bf1c6-8588-3300-a264-0056fc69897d,Brazil,government,25000489,ESC MUL LAUREANO LEAO DE LIMA,-6.5065,-37.9646,1.0,597,Yes,Municipal,Rural,Yes,5.0,Nordeste,2,Paraíba,BR25,Bom Sucesso,BR2502300,Yes
ea2b2ac7-b276-3430-9401-f905b24b2f65,Brazil,government,25000497,ESC MUL BALBINA DE A OLIVEIRA,-6.4472,-37.9302,1.0,735,Yes,Municipal,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Bom Sucesso,BR2502300,Yes
2e058db1-b543-3fe0-a751-d5b44b118367,Brazil,government,25000616,CRECHE SAO JOSE,-6.2135,-37.3515,1.0,74,No,Municipal,Urban,Yes,2.0,Nordeste,2,Paraíba,BR25,São José do Brejo do Cruz,BR2514651,Yes
0e03f762-a822-3b8a-9365-bb983f18a54d,Brazil,government,25000640,ECI JOSE OLIMPIO MAIA,-6.3493,-37.4999,1.0,178,Yes,Estadual,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,Yes
259393d9-cb3c-3224-9fd6-665ad3f734b0,Brazil,government,25000659,EEEF ANTONIO GOMES,-6.3488,-37.497,0.94,126,Yes,Estadual,Urban,Yes,2.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,Yes
e9a05998-df8c-3dfd-9967-724f3e8f28b9,Brazil,government,25000691,E M E F PROFESSORA TEREZINHA GARCIA PEREIRA,-6.3493,-37.4942,1.0,1020,Yes,Municipal,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,Yes
d8defc4f-de9b-3bdd-bb3c-d2dd7de00eda,Brazil,government,25000748,E M E F ANTONIO MAIA NOBRE,-6.3296,-37.4974,0.67,16,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
fe3dcbee-a1d1-3e95-810a-d158fe1e08a7,Brazil,government,25000756,E M E F ANTONIO MINERVINO FILGUEIRAS,-6.3296,-37.4974,0.67,13,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
62da0d6f-77f9-36c7-a4fd-0a123bd57f2d,Brazil,government,25000764,ESC MUL BENEDITO VERAS SALDANHA,-6.1491,-37.3655,0.67,66,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Belém do Brejo do Cruz,BR2502003,No
77fe1b45-0672-3db6-88ff-f08be7d6ad02,Brazil,government,25000780,E M E F CONEGO SANDOVAL,-6.348,-37.4982,0.94,269,Yes,Municipal,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,Yes
74b42153-4c3d-31b6-9a32-f3af75cf4a73,Brazil,government,25001027,E M E F FRANCISCA GOMES BATISTA,-6.3423,-37.4946,1.0,196,Yes,Municipal,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,Yes
d2ec8273-cb24-3f4e-9e44-12315499c2dc,Brazil,government,25001035,E M E F FRANCISCO TARGINO DA SILVA,-6.3385,-37.5464,1.0,0,,Municipal,Rural,,,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
d417194e-f0fc-3545-8ac0-983c92fa429f,Brazil,government,25001043,E M E F JOAO TARGINO DA SILVA,-6.371,-37.5776,0.94,9,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
95b694dd-5d83-3ec1-b21a-7561fecd36b5,Brazil,government,25001051,E M E F JOAQUINA IZABEL LINHARES,-6.2946,-37.4739,1.0,43,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
f63ad079-4ca8-380e-91ce-d0ef3446b8da,Brazil,government,25001060,E M E F JOSE CASSIMIRO FILHO,-6.3873,-37.4373,1.0,0,,Municipal,Rural,,,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
0e8a777a-e282-3088-a773-62fd407e8de1,Brazil,government,25001078,E M E F JOSUE ALVES DE AZEVEDO,-6.3366,-37.5015,1.0,451,Yes,Municipal,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,Yes
e18a71bc-0c22-3dd3-b1d2-d4d5b52bbb37,Brazil,government,25001108,E M E F PROFESSOR MANOEL TORRES,-6.3503,-37.5054,1.0,566,Yes,Municipal,Urban,Yes,5.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,Yes
f6146c81-3b1d-3a31-a8b8-09ece446c004,Brazil,government,25001124,E M E F IRENE BARRETO FILGUEIRAS,-6.3296,-37.4974,1.0,0,,Municipal,Rural,,,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
c65e8364-3d4d-3da0-890e-8dfe83d3f8c9,Brazil,government,25001183,E M E F SEVERINO FERREIRA DE LIMA,-6.3847,-37.4618,1.0,37,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
616c620a-fc70-30d6-b093-54d52005cea7,Brazil,government,25001191,E M E F ABDON DA CUNHA LIMA,-6.2677,-37.5266,1.0,15,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
f9de7ce7-cbf6-39c0-892c-37e6bfb31eb3,Brazil,government,25001205,E M E F BENTO FERREIRA DE ALENCAR,-6.3693,-37.4832,1.0,41,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
58bdf5c9-0793-3fce-80b2-0ad3d942a5c1,Brazil,government,25001213,E M E F ELZA MARIZ MAIA,-6.3296,-37.4974,1.0,0,,Municipal,Rural,,,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
f026f8bd-136a-3f2a-a519-f10a82c3cd14,Brazil,government,25001221,E M E F JANUNCIO DANTAS DE OLIVEIRA,-6.3296,-37.4974,1.0,0,,Municipal,Rural,,,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
13626efe-d763-3b1f-b3f4-31a31c2fad26,Brazil,government,25001230,ESC MUL MANOEL IBIAPINO DUTRA,-6.3296,-37.4974,1.0,0,,Municipal,Rural,,,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
690fcef7-0678-3878-a03d-bb58b9ff4b3a,Brazil,government,25001248,E M E F MARIA DE LOURDES GARCIA,-6.367,-37.4135,0.94,15,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
5a6ba7f3-ed79-3b75-9fe2-cd5c5c7c006e,Brazil,government,25001302,EEEFM OLIVIA SARAIVA MAIA,-6.2127,-37.3531,1.0,107,No,Estadual,Urban,Yes,2.0,Nordeste,2,Paraíba,BR25,São José do Brejo do Cruz,BR2514651,Yes
6c2d262a-0716-3a56-aa55-523d13ab160e,Brazil,government,25001370,ESC MUL MADRINHA SANTANA,-6.1883,-37.2866,1.0,8,No,Municipal,Rural,Yes,2.0,Nordeste,2,Paraíba,BR25,São José do Brejo do Cruz,BR2514651,Yes
8269321e-6df2-3a25-991b-9557139048d2,Brazil,government,25001396,ESC MUL MANOEL JANUARIO DE ARAUJO,-6.2626,-37.3235,1.0,14,No,Municipal,Rural,Yes,2.0,Nordeste,2,Paraíba,BR25,São José do Brejo do Cruz,BR2514651,No
3228803a-3ee6-3a26-8883-f810fe6e5f08,Brazil,government,25001418,E M E F MOISES FENANDES BEZERRA,-6.3375,-37.5465,1.0,34,No,Municipal,Rural,No,0.0,Nordeste,2,Paraíba,BR25,Brejo do Cruz,BR2502805,No
