uuid,country,source,source_school_id,school_name,latitude,longitude,dq_score,student_count,computer_availability,school_type,school_region,internet_availability,internet_speed_Mbps,region,region_code,state,state_code,city,city_code,internet_availability_prediction
21e2804b-efff-340d-b97b-ffbce9c3303f,Brazil,government,22000020,ESCOLA MUNICIPAL MONSENHOR MARIO MENESES,-4.223,-42.2974,0.94,305,No,Municipal,Urban,Yes,5.0,Nordeste,2,Piauí,BR22,Barras,BR2201200,Yes
3ea8c842-a1e8-3e25-a9df-7b0c3b6c2fb8,Brazil,government,22000054,CEJA PROF CONRADO AMORIM DE SOUSA,-4.2437,-42.2916,1.0,561,No,Estadual,Urban,Yes,5.0,Nordeste,2,Piauí,BR22,Barras,BR2201200,Yes
333362f3-0432-3ddf-9674-72e467724e02,Brazil,government,22000178,ESCOLA MUNICIPAL RAIMUNDO NONATO COELHO,-4.3543,-42.1062,0.67,26,No,Municipal,Rural,No,0.0,Nordeste,2,Piauí,BR22,Boa Hora,BR2201770,No
8e2d3890-9096-339e-97ab-d46ea4cb8f05,Brazil,government,22000194,ESC MUL JOSE MARQUES DOS SANTOS,-4.1899,-42.3683,1.0,0,,Municipal,Rural,,,Nordeste,2,Piauí,BR22,Barras,BR2201200,No
1d7774e2-2c35-3b62-ba48-2f6ad3599d33,Brazil,government,22000216,ESC MUL DOMINGOS PEREIRA DA ROCHA,-4.432,-42.3338,0.94,0,,Municipal,Rural,,,Nordeste,2,Piauí,BR22,Cabeceiras do Piauí,BR2202059,No
22948b13-8776-3d45-bf30-9a38a83b2e08,Brazil,government,22000224,ESCOLA MUNICIPAL ELVIRA COELHO DE CASTRO,-4.1327,-42.2796,1.0,0,,Municipal,Rural,,,Nordeste,2,Piauí,BR22,Barras,BR2201200,No
0749722f-243c-3878-b080-005af09e01f1,Brazil,government,22000232,ESCOLA MUNICIPAL ARCANGELA MARIA DA CONCEICAO,-4.1724,-42.561,0.94,203,Yes,Municipal,Rural,Yes,2.0,Nordeste,2,Piauí,BR22,Barras,BR2201200,Yes
888c58d5-966b-391c-9a3c-afcf9a18f920,Brazil,government,22000275,ESC MUL FRANCISCO OTAVIO DOS SANTOS,-4.1899,-42.3683,1.0,0,,Municipal,Rural,,,Nordeste,2,Piauí,BR22,Barras,BR2201200,No
f6cf431c-3373-334e-818b-dfe9e17aa0bb,Brazil,government,22000283,ESC MUL NEMESIO MARQUES LAGES,-4.1613,-42.447,0.94,386,No,Municipal,Rural,Yes,5.0,Nordeste,2,Piauí,BR22,Barras,BR2201200,Yes
bb511b02-88b5-3a72-9822-b2a59a178535,Brazil,government,22000313,ESCOLA MUNICIPAL MARIA VITORIA,-4.3543,-42.1062,1.0,0,,Municipal,Rural,,,Nordeste,2,Piauí,BR22,Boa Hora,BR2201770,No
ed7b7d09-be61-38b3-a63d-5705101a9983,Brazil,government,22000356,ESC MUL JONAS BORGES ARAUJO,-4.0859,-42.3116,1.0,0,,Municipal,Rural,,,Nordeste,2,Piauí,BR22,Barras,BR2201200,No
5e2b10ca-516f-3722-8499-855e0eb68384,Brazil,government,22000364,ESCOLA MUNICIPAL LEONIDAS FERREIRA DE SOUSA,-4.3543,-42.1062,0.67,33,Yes,Municipal,Rural,No,0.0,Nordeste,2,Piauí,BR22,Boa Hora,BR2201770,No
