uuid,country,source,source_school_id,school_name,latitude,longitude,dq_score,student_count,computer_availability,school_type,school_region,internet_availability,internet_speed_Mbps,region,region_code,state,state_code,city,city_code,internet_availability_prediction
43ce3243-cade-3321-81e2-c3c02a4de153,Brazil,government,51000814,EMIEB CRAVARI,-12.626,-57.9329,0.61,61,No,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Brasnorte,BR5101902,Yes
152bb1ef-954e-366b-a38b-e73af0cada02,Brazil,government,51000822,EMIEB ALIA DO PAREDAO,-12.626,-57.9329,0.94,0,,Municipal,Rural,,,Centro-Oeste,5,Mato Grosso,BR51,Brasnorte,BR5101902,No
e5642887-439d-3bb6-88c6-15bc1fef2fe8,Brazil,government,51020351,ESCOLA MUNICIPAL DE ENS FUNDAMENTAL SAO JOAO,-10.3335,-50.7928,0.67,147,Yes,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Santa Terezinha,BR5107776,Yes
166f70a6-4e06-306b-8ee4-6b581fde955f,Brazil,government,51000016,EMCARLOS POMPERMAYER,-13.0567,-59.4158,0.67,144,No,Municipal,Rural,No,0.0,Centro-Oeste,5,Mato Grosso,BR51,Comodoro,BR5103304,Yes
88c933fd-3322-3977-a198-15bd9464267f,Brazil,government,51000113,ESCOLA MUNICIPAL DE 1,-10.4625,-61.0101,0.67,76,No,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Rondolândia,BR5107578,Yes
6e254548-a76e-3303-ad69-613589747fe7,Brazil,government,51000121,EM DEOCLIDES DE MACEDO,-10.1876,-59.8393,0.67,231,Yes,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Aripuanã,BR5101407,Yes
114b8e6b-1b97-341b-92a6-575312214083,Brazil,government,51000172,EM GOVERNADOR FRAGELLI,-10.351,-58.8652,0.94,45,No,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Aripuanã,BR5101407,Yes
8d0d3620-566e-3c1e-8a2a-2c381f0666e2,Brazil,government,51000202,ESCOLA MUNICIPAL RIBEIRINHA IRMA LEONILDA PIOVEZAN,-9.262,-59.5863,0.61,50,No,Municipal,Rural,Yes,2.0,Centro-Oeste,5,Mato Grosso,BR51,Colniza,BR5103254,Yes
f6b8acdd-f553-3eba-ae09-6f2fc559e33c,Brazil,government,51000237,EM JOSE DE ALENCAR,-10.1876,-59.8393,0.67,51,No,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Aripuanã,BR5101407,Yes
e338f848-19f2-3390-9db9-81ecfd13f1d8,Brazil,government,51000466,ESCOLA MUNICIPAL JOANA ALVES DE OLIVEIRA,-10.4625,-61.0101,0.67,95,No,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Rondolândia,BR5107578,Yes
9042c18e-cb31-3068-8196-95d01d7ca057,Brazil,government,51000547,ESCOLA MUNICIPAL SAO JOSE OPERARIO,-10.188,-59.4481,0.94,149,Yes,Municipal,Urban,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Aripuanã,BR5101407,Yes
e42c6568-7843-3dad-a0a9-7d972a0832cd,Brazil,government,51000679,ESCOLA MUNICIPAL TIRADENTES,-10.1876,-59.8393,0.67,98,Yes,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Aripuanã,BR5101407,Yes
3b2009a1-7f9b-363a-9a0c-b720475cd75d,Brazil,government,51000695,EE SAO FRANCISCO DE ASSIS,-10.1876,-59.8393,0.67,759,Yes,Estadual,Urban,Yes,2.0,Centro-Oeste,5,Mato Grosso,BR51,Aripuanã,BR5101407,Yes
2c38bc42-d697-390c-ba25-56f28f3dfae8,Brazil,government,51000709,EE BERNARDINO GOMES DA LUZ,-9.262,-59.5863,0.61,773,No,Estadual,Urban,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Colniza,BR5103254,Yes
7170a831-cf24-3f65-8799-325a7f71247e,Brazil,government,51000857,EMEB ADILSON JOSE SCHUMACHER,-11.8906,-58.383,0.94,115,Yes,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Brasnorte,BR5101902,Yes
a892334a-31c6-3d06-bc49-16b726263f85,Brazil,government,51000938,EMEB MARIA CANDIDA DE LIMA,-12.626,-57.9329,0.61,146,Yes,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Brasnorte,BR5101902,Yes
0081b18d-1c24-371e-b6c0-5099f8e004a5,Brazil,government,51000946,EMEB MUNDO NOVO,-12.626,-57.9329,0.61,92,No,Municipal,Rural,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Brasnorte,BR5101902,Yes
74cbb29e-bd3c-3c6c-b8a4-739fb215966f,Brazil,government,51000962,EMEB PASTOR,-12.1162,-58.0006,1.0,403,Yes,Municipal,Urban,Yes,5.0,Centro-Oeste,5,Mato Grosso,BR51,Brasnorte,BR5101902,Yes
